,StockExchange,code,ISIN
725,WSE,STALPROFI,ISIN PLSTLPF00012
726,WSE,STAPORKOW,ISIN PLSTPRK00019
727,WSE,STARHEDGE,ISIN PLHRDEX00021
728,WSE,STELMET,ISIN PLSTLMT00010
732,WSE,SUNEX,ISIN PLSUNEX00013
733,WSE,SUWARY,ISIN PLSUWAR00014
736,WSE,SWIG80,
737,WSE,SWIG80DVP,
738,WSE,SWIG80TR,
739,WSE,SWISSMED,ISIN PLSWMED00013
740,WSE,SYGNITY,ISIN PLCMPLD00016
741,WSE,SYNEKTIK,ISIN PLSNKTK00019
743,WSE,TALANX,ISIN DE000TLX1005
744,WSE,TALEX,ISIN PLTALEX00017
745,WSE,TARCZYNSKI,ISIN PLTRCZN00016
746,WSE,TATRY,ISIN SK1120010287
747,WSE,TAURONPE,ISIN PLTAURN00011
748,WSE,TBSP_INDEX,
749,WSE,TBULL,ISIN PLTBULL00024
754,WSE,TERMOREX,ISIN PLTRMRX00011
755,WSE,TESGAS,ISIN PLTSGS000019
758,WSE,TIM,ISIN PLTIM0000016
763,WSE,TORPOL,ISIN PLTORPL00016
764,WSE,TOWERINVT,ISIN PLTWRNV00013
765,WSE,TOYA,ISIN PLTOYA000011
767,WSE,TRAKCJA,ISIN PLTRKPL00014
768,WSE,TRANSPOL,ISIN PLTRNSP00013
772,WSE,TRITON,ISIN PLASMOT00030
773,WSE,TSGAMES,ISIN PLTSQGM00016
777,WSE,TXM,ISIN PLTXM0000015
778,WSE,ULMA,ISIN PLBAUMA00017
779,WSE,ULTGAMES,ISIN PLULTGM00013
780,WSE,UNIBEP,ISIN PLUNBEP00015
782,WSE,UNICREDIT,ISIN IT0005239360
783,WSE,UNIMA,ISIN PLUNMST00014
785,WSE,UNIMOT,ISIN PLUNMOT00013
788,WSE,URSUS,ISIN PLPMWRM00012
789,WSE,VANTAGE,ISIN PLVTGDL00010
791,WSE,VENTUREIN,ISIN PLVNTIN00011
792,WSE,VIGOSYS,ISIN PLVIGOS00015
793,WSE,VINDEXUS,ISIN PLVNDEX00013
795,WSE,VISTAL,ISIN PLVTLGD00010
797,WSE,VIVID,ISIN PLVVDGM00014
798,WSE,VOTUM,ISIN PLVOTUM00016
799,WSE,VOXEL,ISIN PLVOXEL00014
800,WSE,VRG,ISIN PLVSTLA00011
801,WSE,WADEX,ISIN PLWADEX00018
805,WSE,WARIMPEX,ISIN AT0000827209
807,WSE,WASKO,ISIN PLHOGA000041
808,WSE,WAWEL,ISIN PLWAWEL00013
814,WSE,WIELTON,ISIN PLWELTN00012
815,WSE,WIG,
816,WSE,WIG20,
818,WSE,WIG20DVP,
819,WSE,WIG20LEV,
820,WSE,WIG20SHORT,
821,WSE,WIG20TR,
822,WSE,WIG30,
823,WSE,WIG30TR,
826,WSE,WIG_BANKI,
827,WSE,WIG_BUDOW,
828,WSE,WIG_CEE,
829,WSE,WIG_CHEMIA,
831,WSE,WIGDIV,
832,WSE,WIG_ENERG,
833,WSE,WIG_GAMES,
834,WSE,WIG_GORNIC,
835,WSE,WIG_INFO,
836,WSE,WIG_LEKI,
837,WSE,WIG_MEDIA,
838,WSE,WIG_MOTO,
839,WSE,WIG_MS_BAS,
840,WSE,WIG_MS_FIN,
841,WSE,WIG_MS_PET,
842,WSE,WIG_NRCHOM,
843,WSE,WIG_ODZIEZ,
844,WSE,WIG_PALIWA,
845,WSE,WIG_POLAND,
846,WSE,WIG_SPOZYW,
848,WSE,WIGTECH,
849,WSE,WIG_TELKOM,
850,WSE,WIG_UKRAIN,
851,WSE,WIKANA,ISIN PLELPO000016
852,WSE,WILBO,ISIN PLWILBO00019
854,WSE,WINVEST,ISIN PLARIEL00046
855,WSE,WIRTUALNA,ISIN PLWRTPL00027
857,WSE,WITTCHEN,ISIN PLWTCHN00030
859,WSE,WOJAS,ISIN PLWOJAS00014
862,WSE,WORKSERV,ISIN PLWRKSR00019
864,WSE,XTB,ISIN PLXTRDM00011
865,WSE,XTPL,ISIN PLXTPL000018
868,WSE,YOLO,ISIN PLPRESC00018
869,WSE,ZAMET,ISIN PLZAMET00010
871,WSE,ZASTAL,ISIN PLZSTAL00012
874,WSE,ZEPAK,ISIN PLZEPAK00012
878,WSE,ZPUE,ISIN PLZPUE000012
879,WSE,ZREMB,ISIN PLZBMZC00019
882,WSE,ZUE,ISIN PLZUE0000015
884,WSE,ZYWIEC,ISIN PLZYWIC00016
